ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
11211,1.0,1.0,0,0,1,1
11216,0.0,1.0,0,0,0,1
10467,0.0,1.0,0,1,0,0
11377,3.0,0.0,0,0,2,0
11229,2.0,0.0,0,0,0,0
11209,2.0,0.0,0,0,1,0
10028,4.0,0.0,0,0,0,0
10310,0.0,1.0,0,0,0,0
11422,2.0,0.0,0,0,2,0
11234,1.0,0.0,0,0,1,0
11221,1.0,0.0,1,0,0,0
11239,0.0,0.0,0,0,0,0
11360,1.0,0.0,0,0,1,0
10301,2.0,0.0,0,0,2,0
11363,2.0,0.0,0,0,0,0
11367,7.0,0.0,0,0,7,0
11692,1.0,0.0,0,0,0,0
11213,1.0,1.0,0,0,1,1
11234,2.0,2.0,0,0,2,2
11226,0.0,1.0,0,1,0,0
10040,2.0,0.0,2,0,0,0
11692,1.0,0.0,1,0,0,0
10301,2.0,0.0,0,0,0,0
10039,13.0,0.0,0,0,13,0
11233,10.0,0.0,0,0,10,0
10301,4.0,0.0,0,0,0,0
10309,2.0,0.0,0,0,2,0
11365,9.0,0.0,0,0,9,0
10017,1.0,0.0,0,0,0,0
10038,2.0,0.0,1,0,0,0
10461,3.0,0.0,0,0,2,0
11359,1.0,0.0,1,0,0,0
11214,1.0,1.0,0,0,0,0
11362,2.0,0.0,0,0,0,0
10465,1.0,1.0,0,0,1,1
11428,0.0,1.0,0,0,0,1
10023,1.0,0.0,0,0,0,0
10451,3.0,0.0,0,0,2,0
11420,0.0,1.0,0,0,0,0
11234,0.0,1.0,0,1,0,0
11208,4.0,0.0,0,0,3,0
11221,6.0,0.0,0,0,6,0
11212,9.0,0.0,0,0,9,0
11230,1.0,1.0,0,1,1,0
10011,2.0,0.0,0,0,2,0
10001,7.0,0.0,0,0,2,0
11219,2.0,0.0,2,0,0,0
10302,2.0,0.0,0,0,1,0
11203,0.0,1.0,0,1,0,0
11208,7.0,0.0,0,0,7,0
11249,0.0,0.0,0,0,0,0
11234,2.0,0.0,0,0,0,0
11233,3.0,0.0,0,0,4,0
11213,43.0,0.0,0,0,43,0
10458,6.0,0.0,0,0,3,0
10007,2.0,0.0,2,0,0,0
11413,1.0,0.0,0,0,1,0
10010,4.0,0.0,0,0,2,0
11354,4.0,0.0,0,0,4,0
11217,1.0,0.0,0,0,0,0
11204,1.0,0.0,1,0,0,0
11694,2.0,0.0,0,0,1,0
10302,1.0,0.0,0,0,0,0
10026,1.0,0.0,0,0,0,0
10024,0.0,0.0,0,0,0,0
11205,9.0,0.0,0,0,9,0
11435,7.0,0.0,0,0,4,0
10032,4.0,0.0,0,0,4,0
10013,0.0,0.0,0,0,3,0
11417,2.0,0.0,1,0,0,0
11366,0.0,1.0,0,0,0,0
11366,1.0,0.0,0,0,1,0
11411,0.0,0.0,0,0,1,0
11106,4.0,0.0,0,0,0,0
11236,5.0,0.0,0,0,5,0
10306,1.0,0.0,1,0,0,0
11366,8.0,0.0,0,0,8,0
10019,5.0,0.0,0,0,4,0
10034,0.0,0.0,0,0,0,0
10301,0.0,0.0,0,0,0,0
11208,2.0,0.0,0,0,1,0
11234,3.0,1.0,0,0,3,1
11106,2.0,0.0,2,0,0,0
10035,2.0,1.0,0,0,2,1
11230,3.0,0.0,0,0,0,0
11385,5.0,0.0,0,0,4,0
11379,0.0,1.0,0,0,0,0
10165,0.0,0.0,0,0,0,0
10306,1.0,0.0,0,0,0,0
11357,6.0,0.0,0,0,6,0
11234,3.0,0.0,0,0,3,0
11235,2.0,0.0,1,0,1,0
11367,5.0,0.0,0,0,5,0
11212,4.0,0.0,0,0,2,0
10103,1.0,0.0,1,0,0,0
11104,4.0,0.0,0,0,4,0
11432,7.0,0.0,0,0,7,0
11692,3.0,0.0,0,0,3,0
10128,2.0,0.0,0,0,2,0
10457,6.0,0.0,0,0,5,0
10019,2.0,0.0,0,0,1,0
11106,1.0,0.0,1,0,0,0
11433,0.0,1.0,0,0,0,0
11236,4.0,0.0,0,0,4,0
10024,3.0,0.0,2,0,0,0
10026,3.0,0.0,0,0,1,0
11205,3.0,0.0,0,0,3,0
11217,5.0,0.0,0,0,5,0
11363,4.0,0.0,0,0,4,0
10032,2.0,1.0,0,0,2,1
11691,11.0,0.0,0,0,11,0
10039,2.0,0.0,1,0,0,0
11205,2.0,0.0,2,0,0,0
10463,2.0,0.0,1,0,0,0
11249,1.0,0.0,1,0,0,0
10469,12.0,0.0,0,0,12,0
11434,2.0,1.0,0,0,1,1
10456,5.0,0.0,0,0,5,0
10458,8.0,0.0,0,0,8,0
11234,2.0,0.0,1,0,1,0
10178,1.0,0.0,0,0,1,0
10467,6.0,0.0,0,0,6,0
11251,0.0,0.0,0,0,0,0
11355,8.0,0.0,0,0,8,0
10018,6.0,0.0,0,0,6,0
11369,1.0,0.0,0,0,0,0
10453,3.0,0.0,0,0,0,0
11426,2.0,0.0,0,0,2,0
11238,3.0,1.0,0,0,2,0
11429,2.0,0.0,0,0,0,0
11414,1.0,0.0,0,0,0,0
10027,7.0,0.0,0,0,7,0
10304,6.0,0.0,0,0,6,0
10312,0.0,1.0,0,0,0,1
11040,0.0,0.0,0,0,0,0
10473,7.0,0.0,0,0,7,0
11207,6.0,0.0,0,0,4,0
11378,5.0,0.0,0,0,5,0
11375,1.0,0.0,0,0,1,0
10002,1.0,0.0,1,0,0,0
10045,2.0,0.0,0,0,2,0
11211,3.0,0.0,0,0,0,0
11692,1.0,0.0,0,0,1,0
11216,1.0,0.0,0,0,0,0
11220,2.0,0.0,1,0,1,0
11101,5.0,0.0,0,0,5,0
11102,0.0,0.0,0,0,0,0
11204,2.0,1.0,0,0,2,1
11215,3.0,0.0,1,0,0,0
10461,1.0,0.0,1,0,0,0
10472,1.0,0.0,1,0,0,0
11221,0.0,0.0,0,0,0,0
11213,2.0,0.0,0,0,2,0
11429,10.0,0.0,0,0,10,0
11423,10.0,0.0,0,0,10,0
11225,6.0,0.0,0,0,6,0
11226,1.0,0.0,0,0,1,0
11428,1.0,0.0,0,0,1,0
10304,2.0,1.0,0,0,0,0
10001,2.0,0.0,0,0,2,0
11211,1.0,0.0,0,0,1,0
10002,6.0,0.0,0,0,6,0
11413,1.0,2.0,0,0,1,2
11219,1.0,0.0,1,0,0,0
11234,0.0,0.0,0,0,1,0
10466,0.0,1.0,0,0,0,1
11432,2.0,0.0,0,0,0,0
11236,2.0,0.0,0,0,1,0
11217,8.0,0.0,0,0,8,0
11215,4.0,2.0,0,0,1,0
10312,2.0,0.0,1,0,1,0
11210,2.0,0.0,2,0,0,0
10033,0.0,0.0,0,0,0,0
10301,6.0,0.0,0,0,6,0
11418,3.0,5.0,0,0,3,5
11224,3.0,0.0,0,0,0,0
11418,1.0,0.0,0,0,1,0
11377,0.0,1.0,0,0,0,1
10312,4.0,0.0,0,0,4,0
11691,5.0,0.0,0,0,5,0
11434,3.0,0.0,0,0,0,0
10006,3.0,0.0,0,0,3,0
10452,0.0,0.0,0,0,0,0
10065,0.0,1.0,0,0,0,0
11369,2.0,0.0,0,0,2,0
10003,0.0,1.0,0,1,0,0
10470,0.0,0.0,0,0,0,0
10035,7.0,0.0,0,0,5,0
11222,1.0,0.0,0,0,0,0
10463,4.0,0.0,0,0,4,0
10452,2.0,0.0,2,0,0,0
