Zip,population,density,City,St,State,CitySt,County,Country,Coordinates,lat,long
10001,22924,13259.3,New York,New York,NY,"New York,NY",New York,US,"40.7484, -73.9967",40.7484,-73.9967
10002,74993,35781.9,New York,New York,NY,"New York,NY",New York,US,"40.7152, -73.9877",40.7152,-73.9877
10003,54682,37524.3,New York,New York,NY,"New York,NY",New York,US,"40.7313, -73.9892",40.7313,-73.9892
10004,3028,2214.8,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10005,8831,37900.9,New York,New York,NY,"New York,NY",New York,US,"40.7056, -74.0083",40.7056,-74.0083
10006,3454,12458.3,New York,New York,NY,"New York,NY",New York,US,"40.7085, -74.0135",40.7085,-74.0135
10007,7023,16915.0,New York,New York,NY,"New York,NY",New York,US,"40.7139, -74.007",40.7139,-74.007
10008,7023,16915.0,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10009,57925,38399.1,New York,New York,NY,"New York,NY",New York,US,"40.7262, -73.9796",40.7262,-73.9796
10010,33730,32205.4,New York,New York,NY,"New York,NY",New York,US,"40.7375, -73.9813",40.7375,-73.9813
10011,50472,29744.0,New York,New York,NY,"New York,NY",New York,US,"40.7402, -73.9996",40.7402,-73.9996
10012,23411,28771.0,New York,New York,NY,"New York,NY",New York,US,"40.7255, -73.9983",40.7255,-73.9983
10013,28709,19437.4,New York,New York,NY,"New York,NY",New York,US,"40.7185, -74.0025",40.7185,-74.0025
10014,30738,22447.1,New York,New York,NY,"New York,NY",New York,US,"40.7339, -74.0054",40.7339,-74.0054
10016,51057,39315.3,New York,New York,NY,"New York,NY",New York,US,"40.7443, -73.9781",40.7443,-73.9781
10017,15801,20189.9,New York,New York,NY,"New York,NY",New York,US,"40.7517, -73.9707",40.7517,-73.9707
10018,9687,6252.9,New York,New York,NY,"New York,NY",New York,US,"40.7547, -73.9925",40.7547,-73.9925
10019,43703,23754.2,New York,New York,NY,"New York,NY",New York,US,"40.7651, -73.9858",40.7651,-73.9858
10020,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7354, -73.9968",40.7354,-73.9968
10021,46215,44214.6,New York,New York,NY,"New York,NY",New York,US,"40.7685, -73.9588",40.7685,-73.9588
10022,31125,28833.9,New York,New York,NY,"New York,NY",New York,US,"40.7571, -73.9657",40.7571,-73.9657
10023,62435,48060.9,New York,New York,NY,"New York,NY",New York,US,"40.7764, -73.9827",40.7764,-73.9827
10024,59001,26672.3,New York,New York,NY,"New York,NY",New York,US,"40.7864, -73.9764",40.7864,-73.9764
10025,92805,48594.3,New York,New York,NY,"New York,NY",New York,US,"40.7975, -73.9683",40.7975,-73.9683
10026,39363,39504.2,New York,New York,NY,"New York,NY",New York,US,"40.8019, -73.9531",40.8019,-73.9531
10027,64548,26528.8,New York,New York,NY,"New York,NY",New York,US,"40.8116, -73.955",40.8116,-73.955
10028,47793,55636.0,New York,New York,NY,"New York,NY",New York,US,"40.7763, -73.9529",40.7763,-73.9529
10029,79597,36151.2,New York,New York,NY,"New York,NY",New York,US,"40.7918, -73.9447",40.7918,-73.9447
10030,29882,37367.3,New York,New York,NY,"New York,NY",New York,US,"40.8183, -73.9426",40.8183,-73.9426
10031,60254,33563.2,New York,New York,NY,"New York,NY",New York,US,"40.8246, -73.9507",40.8246,-73.9507
10032,64264,33808.6,New York,New York,NY,"New York,NY",New York,US,"40.8382, -73.942",40.8382,-73.942
10033,59607,34923.5,New York,New York,NY,"New York,NY",New York,US,"40.8496, -73.9356",40.8496,-73.9356
10034,42910,13778.0,New York,New York,NY,"New York,NY",New York,US,"40.8662, -73.9221",40.8662,-73.9221
10035,35743,9207.8,New York,New York,NY,"New York,NY",New York,US,"40.8011, -73.9371",40.8011,-73.9371
10036,27428,21721.3,New York,New York,NY,"New York,NY",New York,US,"40.7597, -73.9918",40.7597,-73.9918
10037,21139,26126.3,New York,New York,NY,"New York,NY",New York,US,"40.8135, -73.9381",40.8135,-73.9381
10038,22800,26251.9,New York,New York,NY,"New York,NY",New York,US,"40.7101, -74.0013",40.7101,-74.0013
10039,27726,21653.6,New York,New York,NY,"New York,NY",New York,US,"40.8265, -73.9383",40.8265,-73.9383
10040,44571,42392.8,New York,New York,NY,"New York,NY",New York,US,"40.8583, -73.9296",40.8583,-73.9296
10041,44571,42392.8,New York,New York,NY,"New York,NY",New York,US,"40.7038, -74.0098",40.7038,-74.0098
10043,44571,42392.8,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10044,11682,19569.2,New York,New York,NY,"New York,NY",New York,US,"40.7618, -73.9505",40.7618,-73.9505
10045,11682,19569.2,New York,New York,NY,"New York,NY",New York,US,"40.7086, -74.0087",40.7086,-74.0087
10055,11682,19569.2,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10060,11682,19569.2,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10065,28109,32772.8,New York,New York,NY,"New York,NY",New York,US,"40.7651, -73.9638",40.7651,-73.9638
10069,5085,20875.8,New York,New York,NY,"New York,NY",New York,US,"40.778, -73.9884",40.778,-73.9884
10075,21556,54746.3,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10080,21556,54746.3,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10081,21556,54746.3,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10087,21556,54746.3,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10090,21556,54746.3,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10101,21556,54746.3,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10102,21556,54746.3,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10103,0,121.1,New York,New York,NY,"New York,NY",New York,US,"40.7603, -73.9762",40.7603,-73.9762
10104,0,121.1,New York,New York,NY,"New York,NY",New York,US,"40.7609, -73.9799",40.7609,-73.9799
10105,0,121.1,New York,New York,NY,"New York,NY",New York,US,"40.7628, -73.9785",40.7628,-73.9785
10106,0,121.1,New York,New York,NY,"New York,NY",New York,US,"40.7652, -73.9804",40.7652,-73.9804
10107,0,121.1,New York,New York,NY,"New York,NY",New York,US,"40.7664, -73.9827",40.7664,-73.9827
10108,0,121.1,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10109,0,121.1,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10110,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.754, -73.9808",40.754,-73.9808
10111,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7592, -73.9778",40.7592,-73.9778
10112,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7593, -73.9798",40.7593,-73.9798
10113,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10114,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10115,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.8111, -73.9642",40.8111,-73.9642
10116,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10117,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10118,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.749, -73.9865",40.749,-73.9865
10119,0,2159.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10120,0,2159.0,New York,New York,NY,"New York,NY",New York,US,"40.7506, -73.9894",40.7506,-73.9894
10121,0,2159.0,New York,New York,NY,"New York,NY",New York,US,"40.7496, -73.9919",40.7496,-73.9919
10122,0,2159.0,New York,New York,NY,"New York,NY",New York,US,"40.7518, -73.9922",40.7518,-73.9922
10123,0,2159.0,New York,New York,NY,"New York,NY",New York,US,"40.7515, -73.9905",40.7515,-73.9905
10124,0,2159.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10125,0,2159.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10126,0,2159.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10128,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7816, -73.9511",40.7816,-73.9511
10129,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10130,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10131,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10132,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10133,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10138,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10150,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10151,59256,50118.8,New York,New York,NY,"New York,NY",New York,US,"40.7634, -73.974",40.7634,-73.974
10152,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7589, -73.973",40.7589,-73.973
10153,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7641, -73.9735",40.7641,-73.9735
10154,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7583, -73.9735",40.7583,-73.9735
10155,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7611, -73.968",40.7611,-73.968
10156,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10157,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10158,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7494, -73.9758",40.7494,-73.9758
10159,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10160,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10161,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10162,1584,56520.9,New York,New York,NY,"New York,NY",New York,US,"40.7699, -73.9511",40.7699,-73.9511
10163,1584,56520.9,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10164,1584,56520.9,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10165,0,153.2,New York,New York,NY,"New York,NY",New York,US,"40.7524, -73.9791",40.7524,-73.9791
10166,0,153.2,New York,New York,NY,"New York,NY",New York,US,"40.7546, -73.9762",40.7546,-73.9762
10167,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7549, -73.975",40.7549,-73.975
10168,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7519, -73.9768",40.7519,-73.9768
10169,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7547, -73.9766",40.7547,-73.9766
10170,0,80.3,New York,New York,NY,"New York,NY",New York,US,"40.7526, -73.9755",40.7526,-73.9755
10171,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7564, -73.9748",40.7564,-73.9748
10172,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7558, -73.9753",40.7558,-73.9753
10173,0,162.6,New York,New York,NY,"New York,NY",New York,US,"40.7543, -73.9796",40.7543,-73.9796
10174,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7517, -73.9752",40.7517,-73.9752
10175,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7543, -73.9798",40.7543,-73.9798
10176,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7556, -73.9789",40.7556,-73.9789
10177,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7553, -73.9761",40.7553,-73.9761
10178,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7514, -73.9785",40.7514,-73.9785
10179,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10185,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10199,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7503, -74.0006",40.7503,-74.0006
10203,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10211,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10212,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10213,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10242,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10249,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10256,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10258,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10259,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10260,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10261,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10265,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10268,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10269,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10270,148,137.6,New York,New York,NY,"New York,NY",New York,US,"40.7069, -74.0082",40.7069,-74.0082
10271,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7089, -74.0111",40.7089,-74.0111
10272,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10273,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10274,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10275,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10276,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10277,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7808, -73.9772",40.7808,-73.9772
10278,0,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7152, -74.0038",40.7152,-74.0038
10279,43,0.0,New York,New York,NY,"New York,NY",New York,US,"40.7127, -74.0078",40.7127,-74.0078
10280,9384,26417.5,New York,New York,NY,"New York,NY",New York,US,"40.7105, -74.0163",40.7105,-74.0163
10281,9384,26417.5,New York,New York,NY,"New York,NY",New York,US,"40.7146, -74.015",40.7146,-74.015
10282,5593,26893.9,New York,New York,NY,"New York,NY",New York,US,"40.7166, -74.0146",40.7166,-74.0146
10285,5593,26893.9,New York,New York,NY,"New York,NY",New York,US,"40.7143, -74.006",40.7143,-74.006
10286,5593,26893.9,New York,New York,NY,"New York,NY",New York,US,"40.7142, -74.0119",40.7142,-74.0119
