Meter_Hours,Latitude,Longitude,Pay By Cell Number
2HR Pas Mon-Sat 0900-1900,40.7875051180999,-73.9765950135923,113091
3HR Com Mon-Fri 0800-1800,40.7461997160805,-73.9869404709221,106172
2 HR Pas Mon-Sat 0900-1900,40.8801881926653,-73.8648196544519,215851
2 HR Pas Mon-Sat 0830-1900,40.8793709288216,-73.8751329565255,207527
2HR Pas Mon-Sat 0800-1900,40.7657058896101,-73.9630186358349,107210
4HR Pas Mon-Sat 0800-2000,40.741977164829,-73.9579941427178,428922
2 HR Pas Mon-Sat 0830-1900,40.5790168979661,-73.8367443961223,457527
2 HR Pas Mon-Fri 0730-1900,40.7303918242166,-73.8237940621526,430774
2 HR Pas Mon-Sat 0900-1900,40.8795897379535,-73.8652698720662,217558
2 HR Pas Mon-Sat 0800-1900,40.6517575243549,-74.0099926549206,314037
2 HR Pas Mon-Sat 0830-1900,40.5793951915766,-73.8369612122204,457527
3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,40.7574675576099,-73.9747769156357,106078
2 HR Pas Mon-Sat 0900-1900,40.7464341654351,-73.9443593529631,422057
3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400,40.7602885443977,-73.9814761415726,106772
2 HR Pas Mon-Sat 0900-1900,40.8360036582082,-73.8605413137173,222611
15 HR Pas Mon-Sat 0600-2200,40.5765102322409,-73.9707365070721,342847
2 HR Pas Mon-Sat 0800-1900,40.655418120803,-74.006879520588,336984
2 HR Pas Mon-Sat 0830-1900,40.5811291054744,-73.8379718825924,456958
2 HR Pas Mon-Sat 0830-1900,40.5787390647387,-73.8365851594522,457527
2 HR Pas Mon-Sat 0800-1900,40.6570245113525,-74.0052206788396,310798
2 HR Pas Mon-Fri 0800-1900,40.726281359034,-73.8216921543905,455557
3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400,40.7631997090279,-73.9883834424054,103123
2 HR Pas Mon-Sat 0830-1900,40.5784281081318,-73.8364069392935,457527
2 HR Pas Mon-Fri 0800-1900,40.7257207748411,-73.8214051380297,457008
2HR Pas Mon-Sat 0800-1900,40.7651011390631,-73.961595739656,107210
4HR Pas Mon-Sat 0800-2000,40.890572358031,-73.8981901072393,213605
2 HR Pas Mon-Sat 0830-1900,40.6934415849395,-73.9655089166991,327823
2 HR Pas Mon-Sat 0900-1900,40.879337803407,-73.8746560678748,215008
2 HR Pas Mon-Sat 0900-1900,40.6794810819472,-73.839227682958,462167
